Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-01-29,224.66551208496094,230.53493963854137,224.07469429081496,228.5687786535352,42503100
2021-02-01,232.11370849609375,234.87409031446032,225.1207550165806,227.66805400368645,33314200
2021-02-02,231.97813415527344,234.6900856331785,231.18392834456318,233.71185237955038,25916300
2021-02-03,235.35833740234375,237.38260926762328,231.73594450215145,232.03620829339687,27158100
2021-02-04,234.3994903564453,235.59082110671315,232.81106413503315,235.0290586312333,25296100
2021-02-05,234.58349609375,235.62953493978105,232.85947321203503,234.61255149678334,18054800
2021-02-08,234.8450469970703,236.01698785038528,233.23724547077535,235.50365594290915,22211900
2021-02-09,236.10414123535156,237.0629991342801,233.78930042821412,234.26388188398468,23565000
2021-02-10,235.1840057373047,238.18651064884725,233.3146910866756,237.29544381696695,22186700
2021-02-11,236.801513671875,237.44074738041405,234.53508855979004,237.0823875217995,15751100
2021-02-12,237.28578186035156,237.58603089670572,235.09684283335392,236.2591033652499,16561100
2021-02-16,236.03634643554688,238.3899377439915,235.28087633134115,237.32452360783222,26728500
2021-02-17,237.0653533935547,237.1721401826308,233.90060417372604,234.26950668380394,21653500
2021-02-18,236.66732788085938,236.80323699265855,233.82293903642568,234.73547799264114,16925600
2021-02-19,233.92971801757812,236.73528194199474,233.16279070210788,236.6284951567893,25262600
2021-02-22,227.658447265625,230.97852526243156,225.6100933620213,230.48343097962953,36446900
2021-02-23,226.45469665527344,227.96911671547844,222.04733077443865,223.60059047427993,30228700
2021-02-24,227.69732666015625,228.32833015898055,222.30947400017527,223.28996023405196,26339700
2021-02-25,222.2997589111328,227.7361385994351,221.22218844013804,225.2994769096106,39542200
2021-02-26,225.5906982421875,228.49333173275022,222.83366155379443,224.76552625504124,37819200
2021-03-01,230.01748657226562,230.532000735531,226.33820814478304,229.0078632539078,25324000
2021-03-02,227.03717041015625,230.36696607530354,226.62944304946166,230.08543051790622,22812500
2021-03-03,220.91151428222656,226.75563571869472,220.62027623879123,225.37712478028197,34029500
2021-03-04,220.10577392578125,225.69749725826205,217.70793711316207,220.1154912426393,44727800
2021-03-05,224.83349609375,226.45470298882373,219.84366879565454,222.8142643526748,41872800
2021-03-08,220.7465057373047,226.55178813636147,220.49410730707916,224.61022072944098,35267400
2021-03-09,226.94981384277344,228.5030736992036,224.9014596284358,226.07611443164637,33080500
2021-03-10,225.6295623779297,230.0757538286319,225.26065980463162,230.0757538286319,29746800
2021-03-11,230.2019500732422,232.18234235989596,227.464332851091,228.09535116184148,29907600
2021-03-12,228.86228942871094,228.93025140749134,226.4159100133746,227.17312022071917,22653700
2021-03-15,227.94970703125,228.31860955928627,225.03735607428914,228.09533346688784,26034900
2021-03-16,230.76499938964844,233.04633219235947,229.04670809640143,229.37677099863447,28092200
2021-03-17,230.11456298828125,231.58045586360458,226.41587944113863,229.25056608307727,29562100
2021-03-18,223.9792022705078,227.34782268130311,223.60059724399395,225.76544061031768,34833000
2021-03-19,223.62001037597656,225.67806688798484,222.6492267664659,224.27043361679083,46430700
2021-03-22,229.09524536132812,229.97864724989103,223.41615492336888,223.54236154158502,30127000
2021-03-23,230.6387481689453,234.00736813493384,230.14365391133467,230.55138120812828,31638400
2021-03-24,228.58070373535156,231.04648746198183,228.4447946293638,230.90087585305977,25620100
2021-03-25,225.5518798828125,230.01749079989054,224.80438710386696,228.42540613443364,34061900
2021-03-26,229.5709228515625,229.79421376559898,224.78496637034482,224.78496637034482,25479900
2021-03-29,228.36712646484375,229.881546425009,225.1052931610335,229.6776753628415,25227500
2021-03-30,225.076171875,227.01773897398473,224.3480842128807,226.7070811279161,24792000
2021-03-31,228.88165283203125,232.11436398787743,225.60039953373445,226.10521115185293,43623500
2021-04-01,235.2694091796875,235.74508365891975,231.09503677622322,231.50276410684316,30338000
2021-04-05,241.7930908203125,242.65708767630954,235.60918889686695,235.66743354579077,36910600
2021-04-06,240.61843872070312,242.11343904038827,239.66707488090347,240.37574280554114,22931900
2021-04-07,242.59884643554688,243.59875248512827,239.96803084167186,240.5699120097349,22719800
2021-04-08,245.85096740722656,246.7149642914789,244.6374878050191,245.38499538761425,23625200
2021-04-09,248.37501525878906,248.5109243840993,245.0646392908234,245.48206917106788,24326800
2021-04-12,248.43325805664062,250.14184683405722,247.18093879928563,247.26832058939158,27148700
2021-04-13,250.93783569335938,251.61739604318987,249.32633141098822,249.74379086209387,23837500
2021-04-14,248.12258911132812,251.26791865147868,247.7051592527952,249.95738442705982,23070900
2021-04-15,251.91839599609375,252.3358259196887,250.20011933615186,250.39425832048948,25627500
2021-04-16,253.12213134765625,253.3745445888589,250.073885948527,251.88924671941118,24878600
2021-04-19,251.1804962158203,253.84046297045225,250.28739204713807,252.58814404540857,23209300
2021-04-20,250.71456909179688,252.59789154878743,249.3360434154365,250.28742195973945,19722900
2021-04-21,252.96682739257812,253.0639116969371,249.73413040181245,251.37475737977758,24030400
2021-04-22,249.65643310546875,254.13173131072767,248.17112055966072,252.60759393837398,25606200
2021-04-23,253.52017211914062,253.86966967703194,249.75352640325508,250.3457199003043,21462600
2021-04-26,253.90838623046875,254.77239767628507,252.56873002527166,254.01518780988746,19763300
2021-04-27,254.316162109375,255.50051919901207,252.5202066567175,253.93754231285297,31014200
2021-04-28,247.12269592285156,249.04485831125135,245.5597335757297,248.59827647923984,46903100
2021-04-29,245.13258361816406,248.61770831444392,241.72513820743217,247.99640734691204,40589000
2021-04-30,244.81219482421875,245.68590892947552,242.3075862362353,242.44349534421102,30945100
2021-05-03,244.50155639648438,246.9188128764297,243.78317120478226,245.9965566124263,19626600
2021-05-04,240.5504608154297,243.87055375028228,238.5797712999304,243.63756035449094,32756100
2021-05-05,239.26904296875,242.2105161887288,238.63803953313072,241.78336902056324,21901300
2021-05-06,242.4337921142578,242.55999872649028,237.54104912986813,239.2496229884046,26491100
2021-05-07,245.08407592773438,246.87031450093318,243.83175657511157,244.78312051755674,27032900
2021-05-10,239.95828247070312,244.37535080102046,239.9000378249422,243.54047631482206,29299900
2021-05-11,239.03604125976562,239.39524126396145,235.4829845478839,237.40513192486674,33641600
2021-05-12,232.0172882080078,237.2401088919241,231.11446653985686,235.09467054601217,36684400
2021-05-13,235.92955017089844,238.42447127110995,234.36658789594048,234.73549042449673,29624300
2021-05-14,240.89996337890625,241.89986938058215,238.3176900574913,238.40505703325326,23901100
2021-05-17,238.0166778564453,239.38548606855946,236.40518859614093,239.34666124848334,24970200
2021-05-18,235.97808837890625,239.2107996693097,235.80333962140682,239.07489055258026,20168000
2021-05-19,236.56190490722656,236.668938283536,232.16384126495578,232.85468090979936,25739800
2021-05-20,239.83126831054688,241.26161666858968,237.2819468125982,237.37925528006286,21800700
2021-05-21,238.55661010742188,241.63137360699324,238.1382163566714,240.89187972680767,21863100
2021-05-24,244.01527404785156,244.38502839855886,240.83347728349145,241.10592316911138,21411500
2021-05-25,244.92994689941406,245.9321618410009,244.0542300068083,244.97860113726745,17704300
2021-05-26,244.70614624023438,246.11703000306483,243.98610214912352,244.64775224864027,17771600
2021-05-27,242.5849151611328,244.69637810633498,242.52653602349747,244.39474266376132,24426200
2021-05-28,242.94493103027344,245.28020047838282,242.8281727543833,244.2293314538116,18270200
2021-06-01,240.7264404296875,244.51150805073013,240.29832179218081,244.4531289113968,23213300
2021-06-02,240.62913513183594,242.54599596522314,239.20851180587906,241.43674783017758,19406700
2021-06-03,239.08204650878906,239.69504233506905,236.44514148457316,238.60525877973805,25307700
2021-06-04,244.0250244140625,244.86182682067889,240.83350240910428,241.07675875001382,25281100
2021-06-07,246.96356201171875,247.23600792227876,243.0714606069314,243.23687313497223,23079200
2021-06-08,245.7570037841797,249.1042131459193,245.69860979534113,248.27713571336366,22455000
2021-06-09,246.74949645996094,248.63716802611475,246.37975692077634,246.96356322605192,17937600
2021-06-10,250.301025390625,250.51509215014792,246.82733269689064,247.43060364798896,24563600
2021-06-11,250.93356323242188,251.5173547833937,249.68806207199654,251.03084202799582,18999700
2021-06-14,252.8795928955078,252.9379720456742,249.87291819003997,250.94325210039005,19150500
2021-06-15,251.39080810546875,252.9768441324816,250.72915801271992,252.76277737372448,18038900
2021-06-16,250.437255859375,253.55091899521872,247.55709444557854,252.40275627064588,27220000
2021-06-17,253.86228942871094,254.6893668549851,249.10421125404235,249.16259039524994,27565500
2021-06-18,252.43194580078125,255.22452365347306,251.77029572513922,252.62656273802915,37202200
2021-06-21,255.5456085205078,256.41158549216243,250.9626682237531,252.8114101322757,26696100
2021-06-22,258.34796142578125,258.6204073267735,255.3218372487547,255.6332124768533,24694100
2021-06-23,258.1144714355469,259.6323888855167,257.2971335543618,258.8150510043316,19518700
2021-06-24,259.4961242675781,260.6248371990639,258.3090321925997,258.98042203714186,21446900
